build_id,run_number,teammate_1,teammate_2,stuns,disorders,frostburns,ba_5,ex_1,ex_2,lvl_3_ca,ults,chain_attacks,damage_score
01,1,grace,astra_yao,2,21,14,16,10,0,16,5,5,56813
01,2,grace,astra_yao,2,17,14,13,10,0,17,3,5,56067
01,3,grace,astra_yao,2,17,11,14,9,1,11,4,4,52077
01,4,grace,astra_yao,2,21,13,16,9,0,15,4,4,55576
01,5,grace,astra_yao,2,22,15,12,9,0,17,4,4,60000
02,6,grace,astra_yao,2,20,14,12,11,1,14,4,4,55518
02,7,grace,astra_yao,2,18,12,14,11,0,15,5,7,53650
02,8,grace,astra_yao,2,20,14,17,10,0,14,4,6,54114
02,9,grace,astra_yao,2,21,15,20,10,0,14,5,6,56404
02,10,grace,astra_yao,2,22,14,15,10,1,14,4,5,57295
03,11,grace,astra_yao,2,17,14,12,10,1,14,5,6,55398
03,12,grace,astra_yao,2,17,14,13,13,0,14,4,4,53662
03,13,grace,astra_yao,2,18,14,12,11,1,12,4,5,50481
03,14,grace,astra_yao,2,20,15,13,10,2,15,5,6,57056
03,15,grace,astra_yao,2,23,15,15,11,2,16,5,5,58783
